,Title,Poem,Poem_for_Human
0,The Sick Rose,rose thou art sick the invisible worm that flies in the night in the howling storm has found out thy bed of crimson joy and his dark secret love does thy life destroy,"O Rose, thou art sick! 
The invisible worm
That flies in the night,
In the howling storm,
Has found out thy bed
Of crimson joy:
And his dark secret love
Does thy life destroy.     "
1,Love's Secret,never seek to tell thy love love that never told can be for the gentle wind does move silently invisibly told my love told my love told her all my heart trembling cold in ghastly fears ah she did depart soon as she was gone from me traveller came by silently invisibly he took her with sigh,"Never seek to tell thy love,  
Love that never told can be;
For the gentle wind does move
Silently, invisibly.

I told my love, I told my love,
I told her all my heart;
Trembling, cold, in ghastly fears,
Ah! she did depart!

Soon as she was gone from me,
A traveller came by,
Silently, invisibly 
He took her with a sigh.
     "
2,A Poison Tree,was angry with my friend told my wrath my wrath did end was angry with my foe told it not my wrath did grow and watered it in fears night and morning with my tears and sunned it with smiles and with soft deceitful wiles and it grew both day and night till it bore an apple bright and my foe beheld it shine and he knew that it was mine and into my garden stole when the night had veiled the pole in the morning glad see my foe outstretched beneath the tree,"
	I was angry with my friend:
	I told my wrath, my wrath did end.
	I was angry with my foe:
	I told it not, my wrath did grow.
	And I watered it in fears,
	Night and morning with my tears;
	And I sunned it with smiles,
	And with soft deceitful wiles.
	And it grew both day and night,
	Till it bore an apple bright.
	And my foe beheld it shine.
	And he knew that it was mine,
	And into my garden stole
	When the night had veiled the pole;
	In the morning glad I see
	My foe outstretched beneath the tree.     "
3,The Lamb,little lamb who made thee dost thou know who made thee gave thee life bid thee feed by the stream over the mead gave thee clothing of delight softest clothing wooly bright gave thee such tender voice making all the vales rejoice little lamb who made thee dost thou know who made thee little lamb will tell thee little lamb will tell thee he is called by thy name for he calls himself lamb he is meek he is mild he became little child child thou lamb we are called by his name little lamb god bless thee little lamb god bless thee,"Little Lamb who made thee 
Dost thou know who made thee 
Gave thee life & bid thee feed, 
By the stream & o'er the mead; 
Gave thee clothing of delight, 
Softest clothing wooly bright; 
Gave thee such a tender voice, 
Making all the vales rejoice; 
 Little Lamb who made thee 
 Dost thou know who made thee 

   
 Little Lamb I'll tell thee, 
 Little Lamb I'll tell thee; 
He is called by thy name, 
For he calls himself a Lamb: 
He is meek & he is mild, 
He became a little child: 
I a child & thou a lamb, 
We are called by his name. 
 Little Lamb God bless thee. 
 Little Lamb God bless thee.     "
4,The Tyger,tyger tyger burning bright in the forest of the night what immortal hand or eye could frame thy fearful symmetry in what distant deeps or skies burnt the fire of thine eyes on what wings dare he aspire what the hand dare seize the fire and what shoulder and what art could twist the sinews of thy heart and when thy heart began to beat what dread hand and what dread feet what the hammer what the chain in what furnace was thy brain what the anvil what dread grasp dare its deadly terrors clasp when the stars threw down their spears and watered heaven with their tears did he smile his work to see did he who made the lamb make thee tyger tyger burning bright in the forests of the night what immortal hand or eye dare frame thy fearful symmetry,"Tyger! Tyger! burning bright
In the forest of the night
What immortal hand or eye
Could frame thy fearful symmetry?

In what distant deeps or skies
Burnt the fire of thine eyes?
On what wings dare he aspire?
What the hand dare seize the fire?

And what shoulder, and what art,
Could twist the sinews of thy heart?
And when thy heart began to beat,
What dread hand? and what dread feet?

What the hammer? what the chain?
In what furnace was thy brain?
What the anvil? what dread grasp
Dare its deadly terrors clasp?

When the stars threw down their spears,
And watered heaven with their tears,
Did he smile his work to see?
Did he who made the lamb make thee?

Tyger! Tyger! burning bright
In the forests of the night,
What immortal hand or eye 
Dare frame thy fearful symmetry?     "
5,London,wandered through each chartered street near where the chartered thames does flow and mark in every face meet marks of weakness marks of woe in every cry of every man in every infant cry of fear in every voice in every ban the mind forged manacles hear how the chimney sweeper cry every blackening church appals and the hapless soldier sigh runs in blood down palace walls but most through midnight streets hear how the youthful harlot curse blasts the new born infant tear and blights with plagues the marriage hearse,"I wandered through each chartered street,
   Near where the chartered Thames does flow,
 And mark in every face I meet,
   Marks of weakness, marks of woe.

 In every cry of every man,
   In every infant's cry of fear,
 In every voice, in every ban,
   The mind-forged manacles I hear:

 How the chimney-sweeper's cry
   Every blackening church appals,
 And the hapless soldier's sigh
   Runs in blood down palace-walls.

 But most, through midnight streets I hear
   How the youthful harlot's curse
 Blasts the new-born infant's tear,
   And blights with plagues the marriage-hearse.
     "
6,A Divine Image,cruelty has human heart and jealousy human face terror the human form divine and secresy the human dress the human dress is forged iron the human form fiery forge the human face furnace sealed the human heart its hungry gorge,"Cruelty has a human heart,
   And Jealousy a human face;
 Terror the human form divine,
   And Secresy the human dress.

 The human dress is forged iron,
   The human form a fiery forge,
 The human face a furnace sealed,
   The human heart its hungry gorge.     "
7,A Little Boy Lost,nought loves another as itself nor venerates another so nor is it possible to thought greater than itself to know and father how can love you or any of my brothers more love you like the little bird that picks up crumbs around the door the priest sat by and heard the child in trembling zeal he seized his hair he led him by his little coat and all admired the priestly care and standing on the altar high lo what fiend is here said he one who sets reason up for judge of our most holy mystery the weeping child could not be heard the weeping parents wept in vain they stripped him to his little shirt and bound him in an iron chain and burned him in holy place where many had been burned before the weeping parents wept in vain are such thing done on albion shore,"""Nought loves another as itself,
   Nor venerates another so,
 Nor is it possible to thought
   A greater than itself to know.

 ""And, father, how can I love you 
   Or any of my brothers more?
 I love you like the little bird
   That picks up crumbs around the door.""

 The Priest sat by and heard the child;
   In trembling zeal he seized his hair,
 He led him by his little coat,
   And all admired the priestly care. 

 And standing on the altar high,
   ""Lo, what a fiend is here! said he:
 ""One who sets reason up for judge
   Of our most holy mystery.""

 The weeping child could not be heard,
   The weeping parents wept in vain:
 They stripped him to his little shirt,
   And bound him in an iron chain,

 And burned him in a holy place
   Where many had been burned before;
 The weeping parents wept in vain.
   Are such thing done on Albion's shore?     "
8,Ah!  Sunflower,ah sunflower weary of time who countest the steps of the sun seeking after that sweet golden clime where the traveller journey is done where the youth pined away with desire and the pale virgin shrouded in snow arise from their graves and aspire where my sunflower wishes to go,"Ah Sunflower, weary of time,
   Who countest the steps of the sun;
 Seeking after that sweet golden clime
   Where the traveller's journey is done;

 Where the Youth pined away with desire,
   And the pale virgin shrouded in snow,
 Arise from their graves, and aspire
   Where my Sunflower wishes to go!     "
9,The Schoolboy,love to rise in summer morn when the birds sing on every tree the distant huntsman winds his horn and the sky lark sings with me what sweet company but to go to school in summer morn it drives all joy away under cruel eye outworn the little ones spend the day in sighing and dismay ah then at times drooping sit and spend many an anxious hour nor in my book can take delight nor sit in learnings bower worn thro with the dreary shower how can the bird that is born for joy sit in cage and sing how can child when fears annoy but droop his tender wing and forget his youthful spring father mother if buds are nip and blossoms blown away and if the tender plants are strip dof their joy in the springing day by sorrow and care dismay how shall the summer arise in joy or the summer fruits appear or how shall we gather what griefs destroyor bless the mellowing year when the blasts of winter appear,"I love to rise in a summer morn,When the birds sing on every tree;The distant huntsman winds his horn,And the sky-lark sings with me.O! what sweet company.But to go to school in a summer morn,O! it drives all joy away;Under a cruel eye outworn.The little ones spend the day,In sighing and dismay.Ah! then at times I drooping sit,And spend many an anxious hour,Nor in my book can I take delight,Nor sit in learnings bower,Worn thro' with the dreary shower.How can the bird that is born for joy,Sit in a cage and sing.How can a child when fears annoy.But droop his tender wing.And forget his youthful spring.O! father & mother. if buds are nip'd,And blossoms blown away,And if the tender plants are strip'dOf their joy in the springing day,By sorrow and care's dismay.How shall the summer arise in joy.Or the summer fruits appear.Or how shall we gather what griefs destroyOr bless the mellowing year.When the blasts of winter appear.     "
