,Title,Poem,Poem_for_Human
0,Fire And Ice,some say the world will end in fire some say in ice from what have tasted of desire hold with those who favor fire but if it had to perish twice think know enough of hate to know that for destruction ice is also great and would suffice composition date is unknown the lyrical form of this poem is abaabcbcb,"
	 

	 

	  Some say the world will end in fire,
	  Some say in ice.
	  From what I've tasted of desire
	  I hold with those who favor fire.
	  But if it had to perish twice,
	  I think I know enough of hate
	  To know that for destruction ice
	  Is also great
	  And would suffice.

	 

	 

	 

	 

	 

	 

	Composition date is unknown - The lyrical form of this poem is abaabcbcb.
     "
1,Nothing Gold Can Stay,nature first green is gold her hardest hue to hold her early leaf flower but only so an hour then leaf subsides to leaf so eden sank to grief so dawn goes down to day nothing gold can stay,"Nature's first green is gold, 
Her hardest hue to hold.

Her early leaf's a flower;
But only so an hour.

Then leaf subsides to leaf.
So Eden sank to grief,

So dawn goes down to day.
Nothing gold can stay.     "
2,Stopping By Woods On A Snowy Evening,whose woods these are think know his house is in the village though he will not see me stopping here to watch his woods fill up with snow my little horse must think it queer to stop without farmhouse near between the woods and frozen lake the darkest evening of the year he gives his harness bells shake to ask if there is some mistake the only other sound the sweep of easy wind and downy flake the woods are lovely dark and deep but have promises to keep and miles to go before sleep and miles to go before sleep,"
	Whose woods these are I think I know.
	His house is in the village though;
	He will not see me stopping here
	To watch his woods fill up with snow.


	My little horse must think it queer
	To stop without a farmhouse near
	Between the woods and frozen lake
	The darkest evening of the year.


	He gives his harness bells a shake
	To ask if there is some mistake.
	The only other sound's the sweep
	Of easy wind and downy flake.
	The woods are lovely, dark and deep.
	But I have promises to keep,
	And miles to go before I sleep,
	And miles to go before I sleep.     "
3,The Road Not Taken,two roads diverged in yellow wood and sorry could not travel both and be one traveler long stood and looked down one as far as could to where it bent in the undergrowth then took the other as just as fair and having perhaps the better claim because it was grassy and wanted wear though as for that the passing there had worn them really about the same and both that morning equally lay in leaves no step had trodden black oh kept the first for another day yet knowing how way leads on to way doubted if should ever come back shall be telling this with sigh somewhere ages and ages hence two roads diverged in wood and i— took the one less traveled by and that has made all the difference,"
	Two roads diverged in a yellow wood,
	And sorry I could not travel both
	And be one traveler, long I stood
	And looked down one as far as I could
	To where it bent in the undergrowth;
	Then took the other, as just as fair,
	And having perhaps the better claim,
	Because it was grassy and wanted wear;
	Though as for that the passing there
	Had worn them really about the same,
	And both that morning equally lay
	In leaves no step had trodden black.
	Oh, I kept the first for another day!
	Yet knowing how way leads on to way,
	I doubted if I should ever come back.
	I shall be telling this with a sigh
	Somewhere ages and ages hence:
	Two roads diverged in a wood, and I—
	    I took the one less traveled by,
	    And that has made all the difference.     "
4,Carpe Diem,age saw two quiet children go loving by at twilight he knew not whether homeward or outward from the village or chimes were ringing churchward he waited they were strangers till they were out of hearing to bid them both be happy be happy happy happy and seize the day of pleasure the age long theme is age it was age imposed on poems their gather roses burden to warn against the danger that overtaken lovers from being overflooded with happiness should have it and yet not know they have it but bid life seize the present it lives less in the present than in the future always and less in both together than in the past the present is too much for the senses too crowding too confusing too present to imagine,"Age saw two quiet children 
Go loving by at twilight, 
He knew not whether homeward, 
Or outward from the village, 
Or (chimes were ringing) churchward, 
He waited, (they were strangers) 
Till they were out of hearing 
To bid them both be happy. 
""Be happy, happy, happy, 
And seize the day of pleasure."" 
The age-long theme is Age's. 
'Twas Age imposed on poems 
Their gather-roses burden 
To warn against the danger 
That overtaken lovers 
From being overflooded 
With happiness should have it. 
And yet not know they have it. 
But bid life seize the present? 
It lives less in the present 
Than in the future always, 
And less in both together 
Than in the past. The present 
Is too much for the senses, 
Too crowding, too confusing- 
Too present to imagine.     "
5,My November Guest,my sorrow when she is here with me thinks these dark days of autumn rain are beautiful as days can be she loves the bare the withered tree she walks the sodden pasture lane her pleasure will not let me stay she talks and am fain to list she is glad the birds are gone away she is glad her simple worsted grey is silver now with clinging mist the desolate deserted trees the faded earth the heavy sky the beauties she so truly sees she thinks have no eye for these and vexes me for reason why not yesterday learned to know the love of bare november days before the coming of the snow but it were vain to tell her so and they are better for her praise,"My Sorrow, when she's here with me,
Thinks these dark days of autumn rain
Are beautiful as days can be;
She loves the bare, the withered tree;
She walks the sodden pasture lane.

Her pleasure will not let me stay.
She talks and I am fain to list:
She's glad the birds are gone away,
She's glad her simple worsted grey
Is silver now with clinging mist.

The desolate, deserted trees,
The faded earth, the heavy sky,
The beauties she so truly sees,
She thinks I have no eye for these,
And vexes me for reason why.

Not yesterday I learned to know
The love of bare November days
Before the coming of the snow,
But it were vain to tell her so,
And they are better for her praise     "
6,Dust Of Snow,the way crow shook down on me the dust of snow from hemlock tree has given my heart change of mood and saved some part of day had rued,"The way a crow 
Shook down on me
The dust of snow
From a hemlock tree
Has given my heart
A change of mood
And saved some part
Of a day I had rued.     "
7,"Out, Out--",the buzz saw snarled and rattled in the yard and made dust and dropped stove length sticks of wood sweet scented stuff when the breeze drew across it and from there those that lifted eyes could count five mountain ranges one behind the other under the sunset far into vermont and the saw snarled and rattled snarled and rattled as it ran light or had to bear load and nothing happened day was all but done call it day wish they might have said to please the boy by giving him the half hour that boy counts so much when saved from work his sister stood beside them in her apron to tell them supper at the word the saw as if to prove saws knew what supper meant leaped out at the boy hand or seemed to leap— he must have given the hand however it was neither refused the meeting but the hand the boy first outcry was rueful laugh as he swung toward them holding up the hand half in appeal but half as if to keep the life from spilling then the boy saw all— since he was old enough to know big boy doing man work though child at heart— he saw all spoiled do not let him cut my hand off— the doctor when he comes do not let him sister so but the hand was gone already the doctor put him in the dark of ether he lay and puffed his lips out with his breath and then—the watcher at his pulse took fright no one believed they listened at his heart little—less—nothing —and that ended it no more to build on there and they since they were not the one dead turned to their affairs,"
	The buzz-saw snarled and rattled in the yard
	And made dust and dropped stove-length sticks of wood,
	Sweet-scented stuff when the breeze drew across it.
	And from there those that lifted eyes could count
	Five mountain ranges one behind the other
	Under the sunset far into Vermont.
	And the saw snarled and rattled, snarled and rattled,
	As it ran light, or had to bear a load.
	And nothing happened: day was all but done.
	Call it a day, I wish they might have said
	To please the boy by giving him the half hour
	That a boy counts so much when saved from work.
	His sister stood beside them in her apron
	To tell them ""Supper."" At the word, the saw,
	As if to prove saws knew what supper meant,
	Leaped out at the boy's hand, or seemed to leap—
	He must have given the hand. However it was,
	Neither refused the meeting. But the hand!
	The boy's first outcry was a rueful laugh,
	As he swung toward them holding up the hand
	Half in appeal, but half as if to keep
	The life from spilling. Then the boy saw all—
	Since he was old enough to know, big boy
	Doing a man's work, though a child at heart—
	He saw all spoiled. ""Don't let him cut my hand off—
	The doctor, when he comes. Don't let him, sister!""
	So. But the hand was gone already.
	The doctor put him in the dark of ether.
	He lay and puffed his lips out with his breath.
	And then—the watcher at his pulse took fright.
	No one believed. They listened at his heart.
	Little—less—nothing!—and that ended it.
	No more to build on there. And they, since they
	Were not the one dead, turned to their affairs.     "
8,Departmental,an ant on the tablecloth ran into dormant moth of many times his size he showed not the least surprise his business was not with such he gave it scarcely touch and was off on his duty run yet if he encountered one of the hive enquiry squad whose work is to find out god and the nature of time and space he would put him onto the case ants are curious race one crossing with hurried tread the body of one of their dead is not given moment arrest seems not even impressed but he no doubt reports to any with whom he crosses antennae and they no doubt report to the higher up at court then word goes forth in formic death come to jerry mccormic our selfless forager jerry will the special janizary whose office it is to bury the dead of the commissary go bring him home to his people lay him in state on sepal wrap him for shroud in petal embalm him with ichor of nettle this is the word of your queen and presently on the scene appears solemn mortician and taking formal position with feelers calmly atwiddle seizes the dead by the middle and heaving him high in air carries him out of there no one stands round to stare it is nobody else affair it could not be called ungentle but how thoroughly departmental,"An ant on the tablecloth
Ran into a dormant moth
Of many times his size.
He showed not the least surprise.
His business wasn't with such.
He gave it scarcely a touch,
And was off on his duty run.
Yet if he encountered one
Of the hive's enquiry squad
Whose work is to find out God
And the nature of time and space,
He would put him onto the case.
Ants are a curious race;
One crossing with hurried tread
The body of one of their dead
Isn't given a moment's arrest-
Seems not even impressed.
But he no doubt reports to any
With whom he crosses antennae,
And they no doubt report
To the higher-up at court.
Then word goes forth in Formic:
""Death's come to Jerry McCormic,
Our selfless forager Jerry.
Will the special Janizary
Whose office it is to bury
The dead of the commissary
Go bring him home to his people.
Lay him in state on a sepal.
Wrap him for shroud in a petal.
Embalm him with ichor of nettle.
This is the word of your Queen.""
And presently on the scene
Appears a solemn mortician;
And taking formal position,
With feelers calmly atwiddle,
Seizes the dead by the middle,
And heaving him high in air,
Carries him out of there.
No one stands round to stare.
It is nobody else's affair 
It couldn't be called ungentle
But how thoroughly departmental     "
9,Bereft,where had heard this wind before change like this to deeper roar what would it take my standing there for holding open restive door looking down hill to frothy shore summer was past and the day was past sombre clouds in the west were massed out on the porch sagging floor leaves got up in coil and hissed blindly struck at my knee and missed something sinister in the tone told me my secret must be known word was in the house alone somehow must have gotten abroad word was in my life alone word had no one left but god,"Where had I heard this wind before
Change like this to a deeper roar?
What would it take my standing there for,
Holding open a restive door,
Looking down hill to a frothy shore?
Summer was past and the day was past.
Sombre clouds in the west were massed.
Out on the porch's sagging floor,
Leaves got up in a coil and hissed,
Blindly struck at my knee and missed.
Something sinister in the tone
Told me my secret must be known:
Word I was in the house alone
Somehow must have gotten abroad,
Word I was in my life alone,
Word I had no one left but God.      "
